timestamp,layer,percentile,stat,value
1765263227.8238258,1,0.99,p9900,0.07176844278971355
1765263227.8238258,1,0.999,p9990,0.42374928792317706
1765263227.8238258,1,0.9999,p9999,72.97037760416667
1765263227.8238258,1,,max,1479.3333333333333
1765263227.8238258,2,0.9,p9000,0.0024401346842447915
1765263227.8238258,2,0.95,p9500,0.004122416178385417
1765263227.8238258,2,0.99,p9900,0.014695485432942709
1765263227.8238258,2,0.999,p9990,0.0744489034016927
1765263227.8238258,2,0.9999,p9999,0.3372039794921875
1765263227.8238258,2,,max,4.625
1765263227.8238258,3,0.9,p9000,0.0044027964274088545
1765263227.8238258,3,0.95,p9500,0.007287343343098958
1765263227.8238258,3,0.99,p9900,0.019193013509114582
1765263227.8238258,3,0.999,p9990,0.051025708516438804
1765263227.8238258,3,0.9999,p9999,0.12439282735188802
1765263227.8238258,3,,max,1.9407552083333333
1765263227.8238258,4,0.9,p9000,0.009455362955729166
1765263227.8238258,4,0.95,p9500,0.015262603759765625
1765263227.8238258,4,0.99,p9900,0.03936322530110677
1765263227.8238258,4,0.999,p9990,0.1133282979329427
1765263227.8238258,4,0.9999,p9999,5.536092122395833
1765263227.8238258,4,,max,11.428385416666666
1765263227.8238258,5,0.9,p9000,0.009072621663411459
1765263227.8238258,5,0.95,p9500,0.013439178466796875
1765263227.8238258,5,0.99,p9900,0.0294345219930013
1765263227.8238258,5,0.999,p9990,0.07275644938151042
1765263227.8238258,5,0.9999,p9999,0.16460673014322916
1765263227.8238258,5,,max,3.1842447916666665
1765263227.8238258,6,0.9,p9000,0.00860595703125
1765263227.8238258,6,0.95,p9500,0.012819925944010416
1765263227.8238258,6,0.99,p9900,0.031682332356770836
1765263227.8238258,6,0.999,p9990,0.09129079182942708
1765263227.8238258,6,0.9999,p9999,0.20737075805664062
1765263227.8238258,6,,max,5.03515625
1765263227.8238258,7,0.9,p9000,0.010028839111328125
1765263227.8238258,7,0.95,p9500,0.014567057291666666
1765263227.8238258,7,0.99,p9900,0.03480307261149088
1765263227.8238258,7,0.999,p9990,0.10021209716796875
1765263227.8238258,7,0.9999,p9999,0.23302841186523438
1765263227.8238258,7,,max,6.7705078125
1765263227.8238258,8,0.9,p9000,0.010117848714192709
1765263227.8238258,8,0.95,p9500,0.014882405598958334
1765263227.8238258,8,0.99,p9900,0.0388641357421875
1765263227.8238258,8,0.999,p9990,0.11341158548990886
1765263227.8238258,8,0.9999,p9999,0.2597808837890625
1765263227.8238258,8,,max,11.011067708333334
1765263227.8238258,9,0.9,p9000,0.010313669840494791
1765263227.8238258,9,0.95,p9500,0.015589396158854166
1765263227.8238258,9,0.99,p9900,0.04084904988606771
1765263227.8238258,9,0.999,p9990,0.12519391377766928
1765263227.8238258,9,0.9999,p9999,0.28214772542317706
1765263227.8238258,9,,max,7.321614583333333
1765263227.8238258,10,0.9,p9000,0.010884602864583334
1765263227.8238258,10,0.95,p9500,0.016634623209635418
1765263227.8238258,10,0.99,p9900,0.045720418294270836
1765263227.8238258,10,0.999,p9990,0.13718732198079428
1765263227.8238258,10,0.9999,p9999,0.48771413167317706
1765263227.8238258,10,,max,5.3125
1765263227.8238258,11,0.9,p9000,0.011124928792317709
1765263227.8238258,11,0.95,p9500,0.017771402994791668
1765263227.8238258,11,0.99,p9900,0.0505987803141276
1765263227.8238258,11,0.999,p9990,0.14764022827148438
1765263227.8238258,11,0.9999,p9999,0.36488087972005206
1765263227.8238258,11,,max,6.602213541666667
1765263227.8238258,12,0.9,p9000,0.010500590006510416
1765263227.8238258,12,0.95,p9500,0.016330718994140625
1765263227.8238258,12,0.99,p9900,0.0483862559000651
1765263227.8238258,12,0.999,p9990,0.14834467569986978
1765263227.8238258,12,0.9999,p9999,0.34554290771484375
1765263227.8238258,12,,max,4.350911458333333
1765263227.8238258,13,0.9,p9000,0.010955810546875
1765263227.8238258,13,0.95,p9500,0.017690022786458332
1765263227.8238258,13,0.99,p9900,0.054402669270833336
1765263227.8238258,13,0.999,p9990,0.16305414835611978
1765263227.8238258,13,0.9999,p9999,0.44251759847005206
1765263227.8238258,13,,max,6.913411458333333
1765263227.8238258,14,0.9,p9000,0.011025746663411459
1765263227.8238258,14,0.95,p9500,0.01778411865234375
1765263227.8238258,14,0.99,p9900,0.058624267578125
1765263227.8238258,14,0.999,p9990,0.17690149943033853
1765263227.8238258,14,0.9999,p9999,0.3985087076822917
1765263227.8238258,14,,max,6.28515625
1765263227.8238258,15,0.9,p9000,0.012299855550130209
1765263227.8238258,15,0.95,p9500,0.02051544189453125
1765263227.8238258,15,0.99,p9900,0.07036399841308594
1765263227.8238258,15,0.999,p9990,0.23773829142252603
1765263227.8238258,15,0.9999,p9999,0.5236256917317709
1765263227.8238258,15,,max,7.670572916666667
1765263227.8238258,16,0.9,p9000,0.013167063395182291
1765263227.8238258,16,0.95,p9500,0.022539774576822918
1765263227.8238258,16,0.99,p9900,0.07552210489908855
1765263227.8238258,16,0.999,p9990,0.24810918172200522
1765263227.8238258,16,0.9999,p9999,1.293243408203125
1765263227.8238258,16,,max,18.434895833333332
1765263227.8238258,17,0.9,p9000,0.011333465576171875
1765263227.8238258,17,0.95,p9500,0.020365397135416668
1765263227.8238258,17,0.99,p9900,0.07408777872721355
1765263227.8238258,17,0.999,p9990,0.24186325073242188
1765263227.8238258,17,0.9999,p9999,0.7786661783854166
1765263227.8238258,17,,max,8.362630208333334
1765263227.8238258,18,0.9,p9000,0.0119781494140625
1765263227.8238258,18,0.95,p9500,0.022516886393229168
1765263227.8238258,18,0.99,p9900,0.0836804707845052
1765263227.8238258,18,0.999,p9990,0.25986480712890625
1765263227.8238258,18,0.9999,p9999,0.7018992106119791
1765263227.8238258,18,,max,30.231770833333332
1765263227.8238258,19,0.9,p9000,0.01308441162109375
1765263227.8238258,19,0.95,p9500,0.024275461832682293
1765263227.8238258,19,0.99,p9900,0.08595911661783855
1765263227.8238258,19,0.999,p9990,0.2761243184407552
1765263227.8238258,19,0.9999,p9999,1.4145100911458333
1765263227.8238258,19,,max,15.903645833333334
1765263227.8238258,20,0.9,p9000,0.013905843098958334
1765263227.8238258,20,0.95,p9500,0.025461832682291668
1765263227.8238258,20,0.99,p9900,0.0883928934733073
1765263227.8238258,20,0.999,p9990,0.26681772867838544
1765263227.8238258,20,0.9999,p9999,0.7014719645182291
1765263227.8238258,20,,max,7.770833333333333
1765263227.8238258,21,0.9,p9000,0.014858245849609375
1765263227.8238258,21,0.95,p9500,0.027187347412109375
1765263227.8238258,21,0.99,p9900,0.09153493245442708
1765263227.8238258,21,0.999,p9990,0.2674242655436198
1765263227.8238258,21,0.9999,p9999,0.7242228190104166
1765263227.8238258,21,,max,13.526041666666666
1765263227.8238258,22,0.9,p9000,0.015331268310546875
